Tahun,Wilayah,Komposit,NCPR,Kemiskinan (%),Pengeluaran Pangan (%),Tanpa Listrik (%),Tanpa Air Bersih (%),Lama Sekolah Perempuan (tahun),Rasio Tenaga Kesehatan,Angka Kesakitan,Stunting (%),IKP,IKP Ranking
2019,pacitan - donorojo,5,8,1759,2417,1,5460,1200,152,1130,3766,6977,118
2019,pacitan - pringkuku,6,6,1416,2618,9,5223,1700,140,1177,3033,7491,29
2019,pacitan - punung,5,6,1416,2594,7,6714,200,139,1431,3033,6762,193
2019,pacitan - pacitan,5,46,1416,3708,5,4152,300,148,1157,3033,6368,336
2019,pacitan - kebonagung,5,39,1722,4564,5,3520,573,153,1212,3689,6313,358
2019,pacitan - arjosari,5,34,1576,4282,36,4108,600,152,1072,3375,6526,275
2019,pacitan - nawangan,4,26,1916,7224,21,4520,600,153,1358,4103,6007,444
2019,pacitan - bandar,5,11,1913,3545,136,3577,1200,147,1141,4097,6947,134
2019,pacitan - tegalombo,5,17,1916,4427,113,4145,200,154,1445,4103,6267,369
2019,pacitan - tulakan,5,34,1913,3658,10,4612,900,146,1412,4098,6173,392
2019,pacitan - ngadirojo,4,49,1916,3428,20,5959,900,155,1304,4103,5699,505
2019,pacitan - sudimoro,4,36,1916,3468,10,4576,721,156,1446,4103,6071,428
2019,ponorogo - slahung,5,13,1365,2831,32,4680,721,57,1326,3538,7250,57
2019,ponorogo - ngrayun,6,12,1284,4133,4,3030,1200,62,1406,3330,7588,18
2019,ponorogo - bungkal,6,11,1131,3541,7,2736,1200,63,1361,2932,7848,7
2019,ponorogo - sambit,6,10,1295,4731,18,4648,1700,66,1298,3358,7494,28
2019,ponorogo - sawoo,5,9,1365,4881,4,3929,721,75,1385,3538,7232,60
2019,ponorogo - sooko,5,8,1234,3546,9,4673,400,68,1252,3199,7323,49
2019,ponorogo - pulung,6,9,1059,4808,1,4681,800,58,1266,2745,7517,25
2019,ponorogo - mlarak,5,19,1242,3854,3,3454,721,74,1349,3220,7306,53
2019,ponorogo - jetis,5,27,1132,4094,1,4656,800,70,1137,2935,7158,79
2019,ponorogo - siman,5,36,1078,2607,2,3657,600,61,1321,2794,7191,71
2019,ponorogo - balong,6,29,1075,3827,39,1009,600,64,1487,2787,7555,20
2019,ponorogo - kauman,5,22,1301,4595,0,3987,1700,66,1429,3373,7312,52
2019,ponorogo - badegan,5,13,1353,2806,57,3384,100,59,1406,3506,7226,63
2019,ponorogo - sampung,6,12,1253,3329,0,251,600,65,1149,3247,8010,4
2019,ponorogo - sukorejo,5,14,1340,3565,2,4032,100,59,1404,3473,7095,88
2019,ponorogo - babadan,5,35,1009,4103,18,5163,600,64,1172,2615,6984,117
2019,ponorogo - ponorogo,4,137,1009,2643,11,2339,721,69,1015,2615,5548,524
2019,ponorogo - jenangan,6,20,1009,1982,1,1869,1200,68,1220,2615,8072,3
2019,ponorogo - ngebel,6,13,1151,1644,3,4923,1200,71,1337,2983,7601,16
2019,ponorogo - jambon,6,16,1308,4343,22,308,700,60,1392,3389,7745,10
2019,ponorogo - pudak,5,8,1365,3492,0,6416,400,57,1311,3538,6965,125
2019,trenggalek - panggul,4,48,1553,4001,0,5127,700,88,1304,4443,6090,416
2019,trenggalek - munjungan,5,60,1403,2213,4,4758,1100,93,1179,4013,6339,348
2019,trenggalek - pule,5,23,1553,7028,0,2752,600,97,1635,4443,6548,266
2019,trenggalek - dongko,4,49,1503,4486,19,5679,900,90,1351,4300,6032,436
2019,trenggalek - tugu,5,21,1283,4544,1,4562,481,94,947,3672,7004,110
2019,trenggalek - karangan,5,27,1148,4830,1,6303,600,87,960,3284,6772,191
2019,trenggalek - kampak,5,49,1553,0,2,2295,700,97,1303,4443,6776,189
2019,trenggalek - watulimo,4,94,1211,4297,0,4579,721,83,1507,3466,5502,530
2019,trenggalek - bendungan,4,23,1553,2424,15,5134,100,89,2613,4443,6037,435
2019,trenggalek - gandusari,5,28,1244,3626,0,3285,1200,92,1670,3558,7089,90
2019,trenggalek - trenggalek,5,36,1148,3854,0,2429,600,89,1351,3284,7086,91
2019,trenggalek - pogalan,5,56,1148,2755,7,4592,600,82,1586,3284,6368,335
2019,trenggalek - durenan,5,31,1214,2238,2,4468,600,87,798,3473,7167,76
2019,trenggalek - suruh,6,10,1352,4675,0,3192,600,104,698,3870,7459,34
2019,tulungagung - tulungagung,3,150,767,4909,0,6791,600,57,1319,2504,4483,592
2019,tulungagung - boyolangu,5,80,767,4624,0,1332,481,53,1160,2504,6776,188
2019,tulungagung - kedungwaru,3,150,884,4007,22,6186,900,66,1190,2885,4628,588
2019,tulungagung - ngantru,5,39,957,4845,0,4365,900,61,1398,3122,6932,139
2019,tulungagung - kauman,5,42,767,2464,1,4564,400,55,1195,2504,7162,78
2019,tulungagung - pagerwojo,6,11,1038,4558,0,3617,596,65,1310,3388,7500,27
2019,tulungagung - sendang,5,14,1038,4847,145,3336,200,60,1422,3388,7278,54
2019,tulungagung - karangrejo,5,31,1011,3947,15,4538,800,57,1628,3299,6970,120
2019,tulungagung - gondang,4,58,978,5981,0,6369,100,58,1259,3192,5981,451
2019,tulungagung - sumbergempol,5,76,846,6171,0,1710,481,57,1345,2762,6513,282
2019,tulungagung - ngunut,5,57,767,7380,3,911,600,55,1774,2504,6876,155
2019,tulungagung - pucanglaban,6,11,961,5060,18,1939,1200,70,1224,3136,7960,5
2019,tulungagung - rejotangan,5,40,961,5626,8,5180,900,61,795,3135,6951,131
2019,tulungagung - kalidawir,6,27,798,4880,4,5036,1200,54,855,2604,7552,21
2019,tulungagung - besuki,6,15,961,3701,4,3100,481,56,1463,3136,7570,19
2019,tulungagung - campurdarat,5,39,959,5352,0,8366,481,53,1350,3130,6221,381
2019,tulungagung - bandung,5,26,883,6022,12,8503,300,58,1298,2882,6447,309
2019,tulungagung - pakel,5,27,767,6078,7,5089,481,58,1519,2504,7015,107
2019,tulungagung - tanggunggunung,6,5,1038,2493,6,0,100,60,994,3388,8305,2
2019,blitar - wonodadi,5,23,1164,2441,0,6957,600,100,1183,3061,6837,171
2019,blitar - udanawu,5,16,1056,2319,2,5840,596,95,1282,2779,7229,61
